State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
ARUNACHAL PRADESH,Anjaw,Q2,39.55196218622952,Low,Low,Sparsely Irrigated,8.404415454089314
ARUNACHAL PRADESH,Changlang,Q2,42.22215634446596,Low,Low,Sparsely Irrigated,10.76407688142934
ARUNACHAL PRADESH,East Kameng,Q1,23.01260794345848,Low,Low,Sparsely Irrigated,9.556584236813254
ARUNACHAL PRADESH,East Siang,Q2,39.43622881431061,Low,Low,Sparsely Irrigated,19.27249106852874
ARUNACHAL PRADESH,Kamle,Q3,70.2285820358456,Low,Low,Sparsely Irrigated,11.58847235951639
ARUNACHAL PRADESH,Kra Daadi,Q1,34.16601934735996,Low,Low,Sparsely Irrigated,7.990830194858359
ARUNACHAL PRADESH,Kurung Kumey,Q1,31.81227907901064,Low,Low,Rainfed,6.413705224408892
ARUNACHAL PRADESH,Lohit,Q1,35.76278168861727,Low,Low,Sparsely Irrigated,10.25430680885972
ARUNACHAL PRADESH,Longding,Q2,51.92786138932187,Low,Low,Rainfed,2.657769084737962
ARUNACHAL PRADESH,Lower Dibang Valley,Q1,28.82177396713857,Low,Low,Sparsely Irrigated,21.96989563119526
ARUNACHAL PRADESH,Lower Siang,Q3,68.2666992972171,Low,Low,Sparsely Irrigated,16.95747001090513
ARUNACHAL PRADESH,Lower Subansiri,Q2,46.26073583285525,Low,Low,Sparsely Irrigated,15.26229315808004
ARUNACHAL PRADESH,Namsai,Q1,36.49011385511275,Low,Low,Sparsely Irrigated,11.41586623977232
ARUNACHAL PRADESH,Papum Pare,Q2,39.29876787735623,Low,Low,Sparsely Irrigated,23.06999437042597
ARUNACHAL PRADESH,Siang,Q1,31.29080981959069,Low,Low,Sparsely Irrigated,16.66050705891049
ARUNACHAL PRADESH,Tawang,Q2,51.03968857173329,Low,Low,Rainfed,3.190283400809717
ARUNACHAL PRADESH,Tirap,Q1,22.42006581893039,Low,Low,Rainfed,5.502858627858628
ARUNACHAL PRADESH,Upper Dibang Valley,Q1,23.57864653309185,Low,Low,Rainfed,1.979905437352246
ARUNACHAL PRADESH,Upper Siang,Q1,34.57691469152978,Low,Low,Sparsely Irrigated,11.39102944082197
ARUNACHAL PRADESH,Upper Subansiri,Q2,47.52835337263141,Low,Low,Rainfed,6.910601904147168
ARUNACHAL PRADESH,West Kameng,Q2,38.62383214700922,Low,Low,Rainfed,1.935637097731861
ARUNACHAL PRADESH,West Siang,Q1,23.35277721630249,Low,Low,Moderately Irrigated,25.77465787421116
ASSAM,Baksa,Q1,34.61479423420374,Low,Low,Sparsely Irrigated,9.984288600053052
ASSAM,Barpeta,Q1,32.05853065021648,Low,Low,Moderately Irrigated,25.46231375985977
ASSAM,Bongaigaon,Q1,27.88999587945301,Low,Low,Sparsely Irrigated,12.56267154620311
ASSAM,Cachar,Q1,35.35006193672483,Low,Low,Rainfed,1.686476492340201
ASSAM,Chirang,Q1,26.73939261566406,Low,Low,Rainfed,5.171606864274571
ASSAM,Darrang,Q2,48.31883837967901,Low,Low,Rainfed,6.618296529968454
ASSAM,Dhemaji,Q1,16.72840071787845,Low,Low,Rainfed,0.2480691998764288
ASSAM,Dhubri,Q2,43.19004778084089,Low,Low,Sparsely Irrigated,23.38546199544843
ASSAM,Dibrugarh,Q1,33.73971776621934,Low,Low,Rainfed,0.8479739721975746
ASSAM,Dima Hasao,Q1,38.04151287712075,Low,Low,Rainfed,0.2096972176759411
ASSAM,Goalpara,Q1,36.8712258085408,Low,Low,Sparsely Irrigated,17.17543859649123
ASSAM,Golaghat,Q1,33.76038015125898,Low,Low,Rainfed,0.1387778412335808
ASSAM,Hailakandi,Q2,49.87777482329281,Low,Low,Rainfed,0.0640542577241899
ASSAM,Jorhat,Q1,34.47621055130499,Low,Low,Rainfed,1.972750143223653
ASSAM,Kamrup,Q1,37.35137974031795,Low,Low,Rainfed,3.790700525228904
ASSAM,Karbi Anglong,Q1,36.7881103112066,Low,Low,Rainfed,6.062711177186107
ASSAM,Karimganj,Q1,19.55302140942975,Low,Low,Rainfed,1.762852404643449
ASSAM,Kokrajhar,Q1,33.19364275929379,Low,Low,Rainfed,3.802184466019418
ASSAM,Lakhimpur,Q1,32.11239472857795,Low,Low,Sparsely Irrigated,11.11418533157664
ASSAM,Morigaon,Q1,33.25239073621908,Low,Low,Sparsely Irrigated,15.14703365170655
ASSAM,Nagaon,Q2,43.6002063464052,Low,Low,Sparsely Irrigated,17.8131270222881
ASSAM,Nalbari,Q2,48.95402200718159,Low,Low,Moderately Irrigated,25.44690633794443
ASSAM,Sivasagar,Q1,32.80868172401911,Low,Low,Rainfed,1.413515964599556
ASSAM,Sonitpur,Q1,36.54875850625286,Low,Low,Rainfed,3.109709592255793
ASSAM,Tinsukia,Q1,25.80759714368672,Low,Low,Rainfed,1.041952506596306
ASSAM,Udalguri,Q2,42.14001669707614,Low,Low,Sparsely Irrigated,8.246023856858848
BIHAR,Araria,Q2,51.70511960454468,Low,Low,Moderately Irrigated,46.73183370627724
BIHAR,Arwal,Q3,70.0912851415781,Low,Low,Moderately Irrigated,30.30128849930546
BIHAR,Banka,Q3,64.9903702336353,Low,Low,Moderately Irrigated,34.82843129235229
BIHAR,Begusarai,Q3,70.99411858405759,Low,Low,Highly Irrigated,63.44794173392678
BIHAR,Bhagalpur,Q3,59.68596332693043,Low,Low,Sparsely Irrigated,19.3904836806921
BIHAR,Bhojpur,Q2,51.84394302129304,Low,Low,Highly Irrigated,49.91172963566881
BIHAR,Darbhanga,Q2,44.71847455185552,Low,Low,Moderately Irrigated,44.7970497132759
BIHAR,Gaya,Q3,56.56795195473273,Low,Low,Sparsely Irrigated,19.83154236553565
BIHAR,Gopalganj,Q2,43.65537054592993,Low,Low,Moderately Irrigated,40.16017745149038
BIHAR,Jamui,Q1,36.27184428960683,Low,Low,Rainfed,5.877054201101252
BIHAR,Jehanabad,Q3,61.40889654502119,Low,Low,Highly Irrigated,50.4258690173644
BIHAR,Kaimur (bhabua),Q3,63.38869172930838,Low,Low,Moderately Irrigated,40.56627740935094
BIHAR,Katihar,Q3,63.87659331840231,Low,Low,Sparsely Irrigated,22.27122797744286
BIHAR,Khagaria,Q3,62.13714077007301,Low,Low,Moderately Irrigated,42.52855861043779
BIHAR,Kishanganj,Q2,39.25682968662189,Low,Low,Moderately Irrigated,33.79839221493548
BIHAR,Madhepura,Q3,60.91692369441158,Low,Low,Moderately Irrigated,36.3752791095223
BIHAR,Madhubani,Q1,30.13187258536812,Low,Low,Sparsely Irrigated,23.6021137319023
BIHAR,Munger,Q2,47.89242123152111,Low,Low,Sparsely Irrigated,17.17968710879658
BIHAR,Muzaffarpur,Q2,42.7928919466544,Low,Low,Moderately Irrigated,42.50121293415908
BIHAR,Nalanda,Q3,63.9218368248304,Low,Low,Highly Irrigated,50.22858910678377
BIHAR,Nawada,Q3,58.77604926014788,Low,Low,Moderately Irrigated,26.52252223276458
BIHAR,Pashchim Champaran,Q2,39.94270461678455,Medium,Medium,Moderately Irrigated,32.59103418801654
BIHAR,Patna,Q3,66.76644704994585,Low,Low,Moderately Irrigated,25.73037108020527
